sitename,electrificationpolename,kilometer,kilolon,kilolat,
藤枝駅,副１８－２,200414,138.250873,34.848812,200415
藤枝駅,本１８,200414,138.250873,34.848812,200415
藤枝駅,副１９－１,200454,138.250453,34.848704,200455
藤枝駅,副１９－２,200454,138.250453,34.848704,200455
藤枝駅,本１９,200454,138.250453,34.848704,200455
藤枝駅,副２０－１,200494,138.250033,34.848598,200495
藤枝駅,副２０－２,200494,138.250033,34.848598,200495
藤枝駅,本２０,200494,138.250033,34.848598,200495
藤枝駅,副２１,200538,138.24957,34.848475,200540
藤枝駅,本２１,200538,138.24957,34.848475,200540
藤枝駅,副２２,200581,138.24915,34.848354,200580
藤枝駅,本２２,200581,138.24915,34.848354,200580
藤枝駅,副２３,200623,138.248688,34.84821,200625
藤枝駅,本２３,200623,138.248688,34.84821,200625
藤枝駅,副２４,200673,138.248173,34.848046,200675
藤枝駅,本２４,200673,138.248173,34.848046,200675
藤枝駅,副２５,200723,138.24766,34.847883,200725
藤枝駅,本２５,200723,138.24766,34.847883,200725
藤枝駅,副２６,200772,138.2472,34.84774,200770
藤枝駅,本２６,200772,138.2472,34.84774,200770
藤枝駅,副２７,200822,138.2467,34.847581,200820
藤枝駅,本２７,200822,138.2467,34.847581,200820
藤枝駅,止３,200838,138.24649,34.847518,200840
藤枝駅,副２８,200862,138.24629,34.847454,200860
藤枝駅,本２８,200862,138.24629,34.847454,200860
藤枝駅,副２９,200912,138.24578,34.847294,200910
藤枝駅,本２９,200912,138.24578,34.847294,200910
藤枝～六合,副１,200962,138.24527,34.847133,200960
藤枝～六合,本１,200962,138.24527,34.847133,200960
藤枝～六合,副２,201012,138.24476,34.846973,201010
藤枝～六合,本２,201012,138.24476,34.846973,201010
藤枝～六合,副３,201063,138.244198,34.846796,201065
藤枝～六合,本３,201063,138.244198,34.846796,201065
藤枝～六合,副４,201113,138.243683,34.846635,201115
藤枝～六合,本４,201113,138.243683,34.846635,201115
藤枝～六合,注２,201150,138.24333,34.846523,201150
藤枝～六合,注１,201154,138.24328,34.846507,201155
藤枝～六合,副５,201163,138.243178,34.846475,201165
藤枝～六合,本５,201163,138.243178,34.846475,201165
藤枝～六合,副６,201212,138.242715,34.84633,201210
藤枝～六合,本６,201212,138.242715,34.84633,201210
藤枝～六合,副７,201261,138.2422,34.846171,201260
藤枝～六合,本７,201261,138.2422,34.846171,201260
藤枝～六合,副８,201311,138.241685,34.846018,201310
藤枝～六合,本８,201311,138.241685,34.846018,201310
藤枝～六合,副９,201362,138.24117,34.845872,201360
藤枝～六合,本９,201362,138.24117,34.845872,201360
藤枝～六合,副１０,201411,138.240645,34.845731,201410
藤枝～六合,本１０,201411,138.240645,34.845731,201410
藤枝～六合,副１１,201461,138.24013,34.845602,201460
藤枝～六合,本１１,201461,138.24013,34.845602,201460
藤枝～六合,副１２,201512,138.239605,34.845475,201510
